data_y_1,data_y_2,data_y_3,data_y_4,data_x_1,data_x_2,data_x_3,data_x_4
328.1,328.1,287.28,230.08,202.488,202.488,202.488,202.488
380.07,380.07,316.66,261.72,202.957,202.957,202.957,202.957
407.19,407.19,370.89,286.57,203.426,203.426,203.426,203.426
404.93,404.93,305.36,327.25,203.895,203.895,203.895,203.895
314.54,314.54,244.34,232.34,204.365,204.365,204.365,204.365
461.43,461.43,312.14,302.39,204.834,204.834,204.834,204.834
436.57,436.57,368.63,340.81,205.303,205.303,205.303,205.303
486.29,486.29,305.36,329.51,205.772,205.772,205.772,205.772
350.7,350.7,312.14,236.86,206.241,206.241,206.241,206.241
409.45,409.45,337.0,275.28,206.71,206.71,206.71,206.71
346.18,346.18,280.5,315.95,207.178,207.178,207.178,207.178
312.28,312.28,262.42,288.83,207.647,207.647,207.647,207.647
468.21,468.21,294.06,311.43,208.116,208.116,208.116,208.116
287.42,287.42,289.54,245.9,208.585,208.585,208.585,208.585
343.92,343.92,264.68,284.31,209.053,209.053,209.053,209.053
366.52,366.52,291.8,263.98,209.522,209.522,209.522,209.522
298.72,298.72,318.92,291.09,209.99,209.99,209.99,209.99
323.58,323.58,307.62,266.24,210.459,210.459,210.459,210.459
350.7,350.7,255.64,318.21,210.927,210.927,210.927,210.927
423.01,423.01,337.0,365.67,211.396,211.396,211.396,211.396
357.48,357.48,300.84,286.57,211.864,211.864,211.864,211.864
323.58,323.58,300.84,277.54,212.332,212.332,212.332,212.332
282.9,282.9,246.6,293.35,212.801,212.801,212.801,212.801
282.9,282.9,237.56,245.9,213.269,213.269,213.269,213.269
355.22,355.22,224.01,266.24,213.737,213.737,213.737,213.737
289.68,289.68,346.04,230.08,214.205,214.205,214.205,214.205
264.82,264.82,291.8,284.31,214.673,214.673,214.673,214.673
357.48,357.48,368.63,252.68,215.141,215.141,215.141,215.141
307.76,307.76,282.76,250.42,215.609,215.609,215.609,215.609
348.44,348.44,257.9,288.83,216.077,216.077,216.077,216.077
373.3,373.3,282.76,248.16,216.544,216.544,216.544,216.544
285.16,285.16,251.12,234.6,217.012,217.012,217.012,217.012
434.31,434.31,303.1,331.77,217.48,217.48,217.48,217.48
350.7,350.7,260.16,315.95,217.948,217.948,217.948,217.948
280.64,280.64,294.06,254.94,218.415,218.415,218.415,218.415
407.19,407.19,346.04,315.95,218.883,218.883,218.883,218.883
334.88,334.88,298.58,340.81,219.35,219.35,219.35,219.35
305.5,305.5,303.1,275.28,219.818,219.818,219.818,219.818
328.1,328.1,262.42,309.17,220.285,220.285,220.285,220.285
328.1,328.1,226.27,291.09,220.752,220.752,220.752,220.752
323.58,323.58,264.68,227.82,221.22,221.22,221.22,221.22
364.26,364.26,318.92,257.2,221.687,221.687,221.687,221.687
368.78,368.78,289.54,288.83,222.154,222.154,222.154,222.154
267.08,267.08,192.37,259.46,222.621,222.621,222.621,222.621
371.04,371.04,282.76,200.7,223.088,223.088,223.088,223.088
364.26,364.26,300.84,295.61,223.555,223.555,223.555,223.555
389.11,389.11,242.08,270.76,224.022,224.022,224.022,224.022
269.34,269.34,228.53,254.94,224.489,224.489,224.489,224.489
456.91,456.91,291.8,230.08,224.956,224.956,224.956,224.956
291.94,291.94,273.72,313.69,225.423,225.423,225.423,225.423
285.16,285.16,327.96,243.64,225.89,225.89,225.89,225.89
264.82,264.82,239.82,277.54,226.356,226.356,226.356,226.356
409.45,409.45,341.52,286.57,226.823,226.823,226.823,226.823
343.92,343.92,359.6,356.63,227.29,227.29,227.29,227.29
425.27,425.27,309.88,320.47,227.756,227.756,227.756,227.756
443.35,443.35,323.44,304.65,228.223,228.223,228.223,228.223
343.92,343.92,271.46,225.56,228.689,228.689,228.689,228.689
294.2,294.2,303.1,275.28,229.156,229.156,229.156,229.156
346.18,346.18,266.94,266.24,229.622,229.622,229.622,229.622
201.55,201.55,255.64,320.47,230.088,230.088,230.088,230.088
278.38,278.38,271.46,270.76,230.554,230.554,230.554,230.554
251.26,251.26,355.08,214.26,231.021,231.021,231.021,231.021
384.59,384.59,294.06,302.39,231.487,231.487,231.487,231.487
484.03,484.03,352.82,338.55,231.953,231.953,231.953,231.953
316.8,316.8,183.33,270.76,232.419,232.419,232.419,232.419
269.34,269.34,228.53,250.42,232.885,232.885,232.885,232.885
278.38,278.38,228.53,230.08,233.351,233.351,233.351,233.351
289.68,289.68,262.42,257.2,233.817,233.817,233.817,233.817
352.96,352.96,323.44,320.47,234.282,234.282,234.282,234.282
328.1,328.1,255.64,245.9,234.748,234.748,234.748,234.748
337.14,337.14,273.72,270.76,235.214,235.214,235.214,235.214
251.26,251.26,368.63,239.12,235.68,235.68,235.68,235.68
359.74,359.74,364.11,234.6,236.145,236.145,236.145,236.145
373.3,373.3,330.22,315.95,236.611,236.611,236.611,236.611
294.2,294.2,305.36,254.94,237.076,237.076,237.076,237.076
362.0,362.0,296.32,286.57,237.542,237.542,237.542,237.542
350.7,350.7,239.82,297.87,238.007,238.007,238.007,238.007
314.54,314.54,237.56,309.17,238.473,238.473,238.473,238.473
375.56,375.56,266.94,286.57,238.938,238.938,238.938,238.938
352.96,352.96,348.3,318.21,239.403,239.403,239.403,239.403
377.81,377.81,298.58,334.03,239.868,239.868,239.868,239.868
260.3,260.3,244.34,286.57,240.333,240.333,240.333,240.333
368.78,368.78,305.36,367.93,240.799,240.799,240.799,240.799
316.8,316.8,294.06,207.48,241.264,241.264,241.264,241.264
319.06,319.06,239.82,282.05,241.729,241.729,241.729,241.729
386.85,386.85,327.96,322.73,242.193,242.193,242.193,242.193
282.9,282.9,228.53,302.39,242.658,242.658,242.658,242.658
242.23,242.23,266.94,252.68,243.123,243.123,243.123,243.123
251.26,251.26,271.46,282.05,243.588,243.588,243.588,243.588
447.87,447.87,361.85,322.73,244.053,244.053,244.053,244.053
300.98,300.98,269.2,243.64,244.517,244.517,244.517,244.517
325.84,325.84,318.92,338.55,244.982,244.982,244.982,244.982
260.3,260.3,334.74,277.54,245.447,245.447,245.447,245.447
436.57,436.57,309.88,336.29,245.911,245.911,245.911,245.911
226.41,226.41,318.92,270.76,246.376,246.376,246.376,246.376
429.79,429.79,285.02,309.17,246.84,246.84,246.84,246.84
368.78,368.78,309.88,221.04,247.304,247.304,247.304,247.304
300.98,300.98,269.2,320.47,247.769,247.769,247.769,247.769
398.15,398.15,300.84,282.05,248.233,248.233,248.233,248.233
215.11,215.11,278.24,273.02,248.697,248.697,248.697,248.697
325.84,325.84,253.38,282.05,249.161,249.161,249.161,249.161
328.1,328.1,237.56,261.72,249.625,249.625,249.625,249.625
357.48,357.48,307.62,334.03,250.089,250.089,250.089,250.089
332.62,332.62,251.12,345.33,250.553,250.553,250.553,250.553
310.02,310.02,289.54,277.54,251.017,251.017,251.017,251.017
291.94,291.94,251.12,263.98,251.481,251.481,251.481,251.481
362.0,362.0,314.4,295.61,251.945,251.945,251.945,251.945
239.97,239.97,214.97,263.98,252.409,252.409,252.409,252.409
377.81,377.81,257.9,295.61,252.873,252.873,252.873,252.873
398.15,398.15,300.84,279.79,253.336,253.336,253.336,253.336
285.16,285.16,244.34,277.54,253.8,253.8,253.8,253.8
255.78,255.78,379.93,234.6,254.263,254.263,254.263,254.263
398.15,398.15,271.46,309.17,254.727,254.727,254.727,254.727
246.74,246.74,298.58,293.35,255.19,255.19,255.19,255.19
341.66,341.66,255.64,327.25,255.654,255.654,255.654,255.654
303.24,303.24,224.01,225.56,256.117,256.117,256.117,256.117
258.04,258.04,282.76,259.46,256.58,256.58,256.58,256.58
314.54,314.54,260.16,331.77,257.044,257.044,257.044,257.044
362.0,362.0,264.68,302.39,257.507,257.507,257.507,257.507
404.93,404.93,242.08,322.73,257.97,257.97,257.97,257.97
289.68,289.68,339.26,327.25,258.433,258.433,258.433,258.433
348.44,348.44,341.52,329.51,258.896,258.896,258.896,258.896
350.7,350.7,285.02,221.04,259.359,259.359,259.359,259.359
368.78,368.78,318.92,315.95,259.822,259.822,259.822,259.822
269.34,269.34,339.26,225.56,260.285,260.285,260.285,260.285
382.33,382.33,294.06,372.45,260.748,260.748,260.748,260.748
330.36,330.36,343.78,284.31,261.211,261.211,261.211,261.211
273.86,273.86,266.94,252.68,261.673,261.673,261.673,261.673
508.88,508.88,255.64,295.61,262.136,262.136,262.136,262.136
328.1,328.1,303.1,268.5,262.599,262.599,262.599,262.599
271.6,271.6,370.89,313.69,263.061,263.061,263.061,263.061
330.36,330.36,332.48,311.43,263.524,263.524,263.524,263.524
249.0,249.0,294.06,268.5,263.986,263.986,263.986,263.986
362.0,362.0,296.32,275.28,264.449,264.449,264.449,264.449
267.08,267.08,280.5,334.03,264.911,264.911,264.911,264.911
328.1,328.1,282.76,270.76,265.373,265.373,265.373,265.373
316.8,316.8,316.66,297.87,265.836,265.836,265.836,265.836
343.92,343.92,330.22,297.87,266.298,266.298,266.298,266.298
310.02,310.02,298.58,334.03,266.76,266.76,266.76,266.76
321.32,321.32,314.4,295.61,267.222,267.222,267.222,267.222
362.0,362.0,341.52,340.81,267.684,267.684,267.684,267.684
386.85,386.85,341.52,273.02,268.146,268.146,268.146,268.146
310.02,310.02,244.34,214.26,268.608,268.608,268.608,268.608
407.19,407.19,296.32,282.05,269.07,269.07,269.07,269.07
456.91,456.91,298.58,306.91,269.532,269.532,269.532,269.532
346.18,346.18,275.98,297.87,269.994,269.994,269.994,269.994
323.58,323.58,334.74,295.61,270.455,270.455,270.455,270.455
262.56,262.56,237.56,320.47,270.917,270.917,270.917,270.917
251.26,251.26,343.78,295.61,271.379,271.379,271.379,271.379
280.64,280.64,246.6,318.21,271.84,271.84,271.84,271.84
312.28,312.28,248.86,259.46,272.302,272.302,272.302,272.302
355.22,355.22,350.56,306.91,272.763,272.763,272.763,272.763
386.85,386.85,341.52,302.39,273.225,273.225,273.225,273.225
291.94,291.94,332.48,397.31,273.686,273.686,273.686,273.686
355.22,355.22,309.88,363.41,274.147,274.147,274.147,274.147
465.95,465.95,375.41,343.07,274.608,274.608,274.608,274.608
402.67,402.67,348.3,340.81,275.07,275.07,275.07,275.07
436.57,436.57,357.34,284.31,275.531,275.531,275.531,275.531
339.4,339.4,303.1,304.65,275.992,275.992,275.992,275.992
362.0,362.0,251.12,363.41,276.453,276.453,276.453,276.453
348.44,348.44,298.58,245.9,276.914,276.914,276.914,276.914
389.11,389.11,312.14,257.2,277.375,277.375,277.375,277.375
402.67,402.67,298.58,293.35,277.836,277.836,277.836,277.836
352.96,352.96,339.26,315.95,278.297,278.297,278.297,278.297
355.22,355.22,303.1,390.53,278.757,278.757,278.757,278.757
321.32,321.32,255.64,340.81,279.218,279.218,279.218,279.218
395.89,395.89,321.18,324.99,279.679,279.679,279.679,279.679
366.52,366.52,341.52,356.63,280.139,280.139,280.139,280.139
291.94,291.94,303.1,241.38,280.6,280.6,280.6,280.6
307.76,307.76,352.82,295.61,281.06,281.06,281.06,281.06
398.15,398.15,296.32,284.31,281.521,281.521,281.521,281.521
346.18,346.18,280.5,286.57,281.981,281.981,281.981,281.981
325.84,325.84,275.98,343.07,282.442,282.442,282.442,282.442
443.35,443.35,266.94,311.43,282.902,282.902,282.902,282.902
337.14,337.14,296.32,347.59,283.362,283.362,283.362,283.362
346.18,346.18,235.3,293.35,283.822,283.822,283.822,283.822
267.08,267.08,287.28,261.72,284.283,284.283,284.283,284.283
368.78,368.78,316.66,349.85,284.743,284.743,284.743,284.743
382.33,382.33,298.58,284.31,285.203,285.203,285.203,285.203
366.52,366.52,312.14,365.67,285.663,285.663,285.663,285.663
348.44,348.44,255.64,293.35,286.123,286.123,286.123,286.123
298.72,298.72,298.58,277.54,286.582,286.582,286.582,286.582
355.22,355.22,350.56,284.31,287.042,287.042,287.042,287.042
271.6,271.6,346.04,315.95,287.502,287.502,287.502,287.502
289.68,289.68,285.02,329.51,287.962,287.962,287.962,287.962
334.88,334.88,296.32,324.99,288.421,288.421,288.421,288.421
314.54,314.54,337.0,302.39,288.881,288.881,288.881,288.881
357.48,357.48,307.62,297.87,289.341,289.341,289.341,289.341
373.3,373.3,309.88,291.09,289.8,289.8,289.8,289.8
355.22,355.22,289.54,329.51,290.26,290.26,290.26,290.26
319.06,319.06,303.1,381.49,290.719,290.719,290.719,290.719
300.98,300.98,233.04,275.28,291.178,291.178,291.178,291.178
316.8,316.8,309.88,300.13,291.638,291.638,291.638,291.638
348.44,348.44,269.2,245.9,292.097,292.097,292.097,292.097
294.2,294.2,332.48,329.51,292.556,292.556,292.556,292.556
502.11,502.11,334.74,363.41,293.015,293.015,293.015,293.015
212.85,212.85,366.37,324.99,293.474,293.474,293.474,293.474
341.66,341.66,296.32,340.81,293.933,293.933,293.933,293.933
343.92,343.92,289.54,358.89,294.392,294.392,294.392,294.392
280.64,280.64,294.06,234.6,294.851,294.851,294.851,294.851
312.28,312.28,282.76,254.94,295.31,295.31,295.31,295.31
574.42,574.42,361.85,304.65,295.769,295.769,295.769,295.769
350.7,350.7,289.54,297.87,296.228,296.228,296.228,296.228
423.01,423.01,291.8,343.07,296.686,296.686,296.686,296.686
418.49,418.49,343.78,300.13,297.145,297.145,297.145,297.145
298.72,298.72,282.76,286.57,297.604,297.604,297.604,297.604
312.28,312.28,278.24,243.64,298.062,298.062,298.062,298.062
404.93,404.93,309.88,241.38,298.521,298.521,298.521,298.521
445.61,445.61,346.04,295.61,298.979,298.979,298.979,298.979
452.39,452.39,287.28,322.73,299.437,299.437,299.437,299.437
377.81,377.81,377.67,306.91,299.896,299.896,299.896,299.896
371.04,371.04,334.74,336.29,300.354,300.354,300.354,300.354
400.41,400.41,233.04,379.23,300.812,300.812,300.812,300.812
493.07,493.07,359.6,320.47,301.271,301.271,301.271,301.271
350.7,350.7,253.38,338.55,301.729,301.729,301.729,301.729
382.33,382.33,289.54,254.94,302.187,302.187,302.187,302.187
319.06,319.06,318.92,327.25,302.645,302.645,302.645,302.645
362.0,362.0,289.54,345.33,303.103,303.103,303.103,303.103
484.03,484.03,388.97,324.99,303.561,303.561,303.561,303.561
477.25,477.25,291.8,343.07,304.018,304.018,304.018,304.018
416.23,416.23,246.6,340.81,304.476,304.476,304.476,304.476
470.47,470.47,327.96,336.29,304.934,304.934,304.934,304.934
648.99,648.99,323.44,331.77,305.392,305.392,305.392,305.392
587.98,587.98,337.0,336.29,305.849,305.849,305.849,305.849
671.59,671.59,377.67,435.72,306.307,306.307,306.307,306.307
1119.04,1119.04,346.04,415.38,306.764,306.764,306.764,306.764
1566.48,1566.48,454.51,458.32,307.222,307.222,307.222,307.222
2190.2,2190.2,497.44,528.38,307.679,307.679,307.679,307.679
3125.77,3125.77,549.42,625.55,308.137,308.137,308.137,308.137
4194.66,4194.66,705.35,738.54,308.594,308.594,308.594,308.594
5051.14,5051.14,798.0,896.73,309.051,309.051,309.051,309.051
5668.07,5668.07,861.28,898.99,309.509,309.509,309.509,309.509
5455.65,5455.65,793.48,935.14,309.966,309.966,309.966,309.966
5042.1,5042.1,831.9,874.13,310.423,310.423,310.423,310.423
4156.25,4156.25,689.53,799.56,310.88,310.88,310.88,310.88
3595.81,3595.81,626.25,693.34,311.337,311.337,311.337,311.337
3157.4,3157.4,544.9,691.08,311.794,311.794,311.794,311.794
2897.52,2897.52,565.24,578.09,312.251,312.251,312.251,312.251
2732.56,2732.56,495.18,600.69,312.708,312.708,312.708,312.708
2949.5,2949.5,499.7,501.26,313.164,313.164,313.164,313.164
3365.31,3365.31,626.25,731.76,313.621,313.621,313.621,313.621
3652.31,3652.31,608.18,632.33,314.078,314.078,314.078,314.078
3774.34,3774.34,596.88,729.5,314.534,314.534,314.534,314.534
4357.37,4357.37,687.27,722.72,314.991,314.991,314.991,314.991
4470.36,4470.36,639.81,763.4,315.448,315.448,315.448,315.448
5066.96,5066.96,671.45,774.7,315.904,315.904,315.904,315.904
5177.69,5177.69,721.17,770.18,316.36,316.36,316.36,316.36
4352.85,4352.85,657.89,691.08,316.817,316.817,316.817,316.817
3180.0,3180.0,626.25,557.75,317.273,317.273,317.273,317.273
2237.65,2237.65,456.77,573.57,317.729,317.729,317.729,317.729
1858.0,1858.0,431.91,505.78,318.186,318.186,318.186,318.186
1778.91,1778.91,425.13,508.04,318.642,318.642,318.642,318.642
1618.46,1618.46,416.09,474.14,319.098,319.098,319.098,319.098
1774.39,1774.39,413.83,447.02,319.554,319.554,319.554,319.554
1699.81,1699.81,465.81,460.58,320.01,320.01,320.01,320.01
1740.49,1740.49,479.37,413.12,320.466,320.466,320.466,320.466
1638.8,1638.8,418.35,453.8,320.922,320.922,320.922,320.922
1742.75,1742.75,377.67,469.62,321.378,321.378,321.378,321.378
1582.3,1582.3,370.89,370.19,321.833,321.833,321.833,321.833
1507.73,1507.73,438.69,422.16,322.289,322.289,322.289,322.289
1509.99,1509.99,431.91,388.27,322.745,322.745,322.745,322.745
1541.63,1541.63,418.35,390.53,323.2,323.2,323.2,323.2
1512.25,1512.25,384.45,309.17,323.656,323.656,323.656,323.656
1480.61,1480.61,413.83,413.12,324.111,324.111,324.111,324.111
1421.86,1421.86,361.85,451.54,324.567,324.567,324.567,324.567
1498.69,1498.69,434.17,336.29,325.022,325.022,325.022,325.022
1528.07,1528.07,359.6,458.32,325.478,325.478,325.478,325.478
1577.78,1577.78,407.05,435.72,325.933,325.933,325.933,325.933
1665.92,1665.92,384.45,469.62,326.388,326.388,326.388,326.388
1867.04,1867.04,454.51,435.72,326.843,326.843,326.843,326.843
1923.54,1923.54,409.31,489.96,327.298,327.298,327.298,327.298
1715.63,1715.63,352.82,356.63,327.754,327.754,327.754,327.754
1749.53,1749.53,409.31,449.28,328.209,328.209,328.209,328.209
1776.65,1776.65,379.93,476.4,328.664,328.664,328.664,328.664
1835.4,1835.4,459.03,499.0,329.118,329.118,329.118,329.118
1855.74,1855.74,373.15,458.32,329.573,329.573,329.573,329.573
1774.39,1774.39,404.79,514.82,330.028,330.028,330.028,330.028
1880.6,1880.6,427.39,460.58,330.483,330.483,330.483,330.483
1785.69,1785.69,422.87,465.1,330.938,330.938,330.938,330.938
1711.11,1711.11,370.89,399.57,331.392,331.392,331.392,331.392
1708.85,1708.85,427.39,428.94,331.847,331.847,331.847,331.847
1699.81,1699.81,366.37,404.09,332.301,332.301,332.301,332.301
1756.31,1756.31,445.47,408.61,332.756,332.756,332.756,332.756
1808.29,1808.29,452.25,397.31,333.21,333.21,333.21,333.21
2115.62,2115.62,472.59,404.09,333.665,333.665,333.665,333.665
2262.51,2262.51,445.47,447.02,334.119,334.119,334.119,334.119
2361.94,2361.94,452.25,415.38,334.573,334.573,334.573,334.573
2883.96,2883.96,495.18,508.04,335.028,335.028,335.028,335.028
3383.39,3383.39,418.35,508.04,335.482,335.482,335.482,335.482
4739.28,4739.28,572.02,596.17,335.936,335.936,335.936,335.936
6924.54,6924.54,757.32,776.96,336.39,336.39,336.39,336.39
9735.76,9735.76,856.76,910.29,336.844,336.844,336.844,336.844
12626.08,12626.08,1012.69,1185.99,337.298,337.298,337.298,337.298
12962.79,12962.79,1173.13,1181.47,337.752,337.752,337.752,337.752
10119.93,10119.93,942.63,1045.88,338.206,338.206,338.206,338.206
5991.23,5991.23,687.27,702.38,338.659,338.659,338.659,338.659
3564.17,3564.17,529.08,537.42,339.113,339.113,339.113,339.113
2479.45,2479.45,436.43,435.72,339.567,339.567,339.567,339.567
2190.2,2190.2,429.65,537.42,340.02,340.02,340.02,340.02
2156.3,2156.3,440.95,496.74,340.474,340.474,340.474,340.474
2000.37,2000.37,404.79,424.42,340.927,340.927,340.927,340.927
1939.36,1939.36,420.61,460.58,341.381,341.381,341.381,341.381
2020.71,2020.71,481.63,413.12,341.834,341.834,341.834,341.834
1961.95,1961.95,379.93,424.42,342.288,342.288,342.288,342.288
1993.59,1993.59,434.17,399.57,342.741,342.741,342.741,342.741
1939.36,1939.36,452.25,440.24,343.194,343.194,343.194,343.194
2065.91,2065.91,474.85,372.45,343.647,343.647,343.647,343.647
2328.05,2328.05,436.43,465.1,344.101,344.101,344.101,344.101
2086.24,2086.24,445.47,408.61,344.554,344.554,344.554,344.554
2102.06,2102.06,440.95,422.16,345.007,345.007,345.007,345.007
2237.65,2237.65,472.59,528.38,345.46,345.46,345.46,345.46
2111.1,2111.1,416.09,426.68,345.913,345.913,345.913,345.913
2300.93,2300.93,490.67,550.97,346.366,346.366,346.366,346.366
2285.11,2285.11,486.15,494.48,346.818,346.818,346.818,346.818
2178.9,2178.9,416.09,478.66,347.271,347.271,347.271,347.271
2255.73,2255.73,427.39,437.98,347.724,347.724,347.724,347.724
2233.13,2233.13,404.79,489.96,348.177,348.177,348.177,348.177
2427.48,2427.48,445.47,449.28,348.629,348.629,348.629,348.629
2411.66,2411.66,461.29,424.42,349.082,349.082,349.082,349.082
2370.98,2370.98,391.23,467.36,349.534,349.534,349.534,349.534
2432.0,2432.0,386.71,460.58,349.987,349.987,349.987,349.987
2560.81,2560.81,425.13,539.68,350.439,350.439,350.439,350.439
2707.7,2707.7,567.5,487.7,350.891,350.891,350.891,350.891
2578.89,2578.89,562.98,512.56,351.344,351.344,351.344,351.344
2635.38,2635.38,495.18,546.45,351.796,351.796,351.796,351.796
3080.57,3080.57,646.59,652.67,352.248,352.248,352.248,352.248
3557.39,3557.39,540.38,632.33,352.7,352.7,352.7,352.7
4316.69,4316.69,614.96,625.55,353.152,353.152,353.152,353.152
5270.34,5270.34,585.58,695.6,353.604,353.604,353.604,353.604
5790.1,5790.1,633.03,654.93,354.056,354.056,354.056,354.056
5259.04,5259.04,623.99,621.03,354.508,354.508,354.508,354.508
4090.71,4090.71,542.64,494.48,354.96,354.96,354.96,354.96
3467.0,3467.0,544.9,517.08,355.412,355.412,355.412,355.412
3460.22,3460.22,515.52,553.23,355.863,355.863,355.863,355.863
4370.93,4370.93,558.46,691.08,356.315,356.315,356.315,356.315
6018.34,6018.34,648.85,686.56,356.767,356.767,356.767,356.767
8443.14,8443.14,743.77,795.04,357.218,357.218,357.218,357.218
11114.26,11114.26,996.87,1000.68,357.67,357.67,357.67,357.67
12404.62,12404.62,1105.34,1091.07,358.121,358.121,358.121,358.121
10702.97,10702.97,904.21,1088.81,358.573,358.573,358.573,358.573
7374.24,7374.24,750.55,747.58,359.024,359.024,359.024,359.024
4852.27,4852.27,594.62,584.87,359.475,359.475,359.475,359.475
3335.93,3335.93,449.99,474.14,359.927,359.927,359.927,359.927
2685.1,2685.1,445.47,456.06,360.378,360.378,360.378,360.378
2334.83,2334.83,422.87,401.83,360.829,360.829,360.829,360.829
2357.42,2357.42,386.71,501.26,361.28,361.28,361.28,361.28
2398.1,2398.1,465.81,460.58,361.731,361.731,361.731,361.731
2339.35,2339.35,434.17,415.38,362.182,362.182,362.182,362.182
2244.43,2244.43,431.91,501.26,362.633,362.633,362.633,362.633
2074.95,2074.95,384.45,401.83,363.084,363.084,363.084,363.084
2072.69,2072.69,443.21,442.5,363.535,363.535,363.535,363.535
2246.69,2246.69,339.26,431.2,363.986,363.986,363.986,363.986
2149.52,2149.52,427.39,404.09,364.436,364.436,364.436,364.436
2151.78,2151.78,375.41,428.94,364.887,364.887,364.887,364.887
2174.38,2174.38,470.33,437.98,365.338,365.338,365.338,365.338
2111.1,2111.1,472.59,476.4,365.788,365.788,365.788,365.788
2246.69,2246.69,429.65,442.5,366.239,366.239,366.239,366.239
2520.13,2520.13,486.15,460.58,366.689,366.689,366.689,366.689
2524.65,2524.65,515.52,496.74,367.139,367.139,367.139,367.139
2626.34,2626.34,540.38,532.9,367.59,367.59,367.59,367.59
2522.39,2522.39,477.11,492.22,368.04,368.04,368.04,368.04
2481.71,2481.71,452.25,521.6,368.49,368.49,368.49,368.49
2538.21,2538.21,506.48,517.08,368.94,368.94,368.94,368.94
2621.82,2621.82,522.3,526.12,369.391,369.391,369.391,369.391
2635.38,2635.38,438.69,471.88,369.841,369.841,369.841,369.841
3067.01,3067.01,506.48,523.86,370.291,370.291,370.291,370.291
3390.17,3390.17,490.67,569.05,370.741,370.741,370.741,370.741
3392.42,3392.42,490.67,489.96,371.191,371.191,371.191,371.191
3279.43,3279.43,483.89,449.28,371.64,371.64,371.64,371.64
3010.51,3010.51,483.89,521.6,372.09,372.09,372.09,372.09
2685.1,2685.1,445.47,489.96,372.54,372.54,372.54,372.54
2506.57,2506.57,436.43,449.28,372.99,372.99,372.99,372.99
2567.59,2567.59,463.55,462.84,373.439,373.439,373.439,373.439
2687.36,2687.36,461.29,478.66,373.889,373.889,373.889,373.889
2935.94,2935.94,438.69,487.7,374.338,374.338,374.338,374.338
3631.97,3631.97,440.95,557.75,374.788,374.788,374.788,374.788
4524.6,4524.6,585.58,487.7,375.237,375.237,375.237,375.237
5195.77,5195.77,662.41,616.51,375.687,375.687,375.687,375.687
5044.36,5044.36,581.06,584.87,376.136,376.136,376.136,376.136
4147.21,4147.21,556.2,566.79,376.585,376.585,376.585,376.585
3302.03,3302.03,470.33,573.57,377.034,377.034,377.034,377.034
2608.26,2608.26,434.17,480.92,377.483,377.483,377.483,377.483
2497.53,2497.53,436.43,485.44,377.933,377.933,377.933,377.933
2642.16,2642.16,409.31,437.98,378.382,378.382,378.382,378.382
2728.04,2728.04,492.92,487.7,378.831,378.831,378.831,378.831
3231.98,3231.98,463.55,501.26,379.28,379.28,379.28,379.28
3946.08,3946.08,531.34,530.64,379.728,379.728,379.728,379.728
